City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,rancharia,-22.2292,-50.8931,23.9,84,22,0.72,BR,1712695008
101,hithadhoo,-0.6,73.0833,28.84,76,78,3.08,MV,1712695008
102,sitka,57.0531,-135.33,7.94,61,75,2.57,US,1712694899
103,vorkuta,67.5,64.0,-26.61,100,55,0.45,RU,1712695008
104,huruta,8.15,39.35,18.0,71,4,2.98,ET,1712695009
105,el calafate,-50.3408,-72.2768,7.03,74,69,4.93,AR,1712695009
106,puerto ayora,-0.7393,-90.3518,29.98,89,35,2.24,EC,1712695009
107,vila velha,-20.3297,-40.2925,28.97,86,20,4.12,BR,1712695010
108,bayanhongor,46.7167,100.1167,-1.49,58,35,1.57,MN,1712695010
109,madang,-5.2246,145.7966,24.46,96,100,1.52,PG,1712695010
110,dakhla,23.6848,-15.958,18.01,82,0,10.29,EH,1712695010
111,ironwood,46.4547,-90.171,11.19,61,100,5.14,US,1712695011
112,udachny,66.4167,112.4,-1.97,78,100,8.18,RU,1712695011
113,poltavka,54.3663,71.7632,1.77,98,100,2.61,RU,1712695012
114,jiangyou,31.7667,104.7167,14.91,89,100,0.77,CN,1712695012
115,hobyo,5.3505,48.5268,28.42,70,65,5.52,SO,1712695012
116,codrington,-38.2667,141.9667,12.07,89,78,3.27,AU,1712695013
117,port alberni,49.2413,-124.8028,12.84,65,60,2.12,CA,1712695013
118,tolanaro,-25.0319,46.9987,26.04,89,20,6.17,MG,1712695013
119,petropavlovsk-kamchatsky,53.0452,158.6483,2.47,82,100,7.0,RU,1712695013
120,bredasdorp,-34.5322,20.0403,16.72,86,71,4.0,ZA,1712695014
